Song,Artist,State,Lat,Long,Song_Release_Year,Song_Release_Month
Freeze Tag (feat. Phoelix),"['Terrace Martin', 'Robert Glasper', '9th Wonder', 'Kamasi Washington', 'Dinner Party', 'Phoelix']",California,34.0,-118.0,2019,May
Church,"['BJ The Chicago Kid', 'Chance the Rapper', 'Buddy']",Illinois,41.0,89.0,2019,August
Louie Bag (feat. Smino),"['Yebba', 'Smino']",Nigeria,9.0,8.0,2021,August
Love To Last,['Hajaj'],Nigeria,10.0,8.0,2021,September
Liquor Store In The Sky (feat. Freddie Gibbs),"['BJ The Chicago Kid', 'Freddie Gibbs']",Illinois,41.0,87.0,2016,April
"The Better Benediction (pt.2) (feat. Lisa Knowles-Smith, Le'Andria Johnson, KeKe Wyatt, Kierra Sheard & Tasha Cobbs Leonard)","['PJ Morton', 'Lisa Knowles-Smith', ""Le'Andria Johnson"", 'KeKe Wyatt', 'Kierra Sheard', 'Tasha Cobbs Leonard']",Louisiana,-30.9843,-91.9623,'2020','August'
Bring it on Home to Me (feat. Charlie Bereal),"['BJ The Chicago Kid', 'PJ Morton', 'Kenyon Dixon', 'Charlie Bereal']",Illinois,41.0,-87.0,2020,October
Not Like Us,['Kendrick Lamar'],California,34.0,-118.0,2019,August
meet the grahams,['Kendrick Lamar'],California,33.7712,-118.188,2013,August
What's on your mind?,['FiJA'],Australia,-25.0,133.0,2021,October
Distance,['Emily King'],New York,40.0,-74.0,2019,October
Tennessee Whiskey - Live,['T-Pain'],Florida,27.0,-81.0,2018,August
KLINK,['Smino'],Missouri,38.0,-92.0,2018,June
Outskirts of Heaven,['Matt Schuster'],Ohio,41.0,-82.0,2019,May
Kate McCannon,['Colter Wall'],Canada,56.0,106.0,2015,November
Bandit,['Don Toliver'],Texas,29.0,-99.0,2020,June
Section,"['2 Chainz', 'Lil Wayne']",Georgia,33.0,-84.0,2011,August
Buried Alive,['Avenged Sevenfold'],California,36.7783,-119.4179,2010,November
Make Her Say,"['Kid Cudi', 'Kanye West', 'Common']",Ohio,40.0,-82.0,2009,July
Big Black Car,['Gregory Alan Isakov'],Colorado,40.0,-105.0,2009,June
euphoria,['Kendrick Lamar'],California,37.0,122.0,2012,June
Dancing in the Moonlight,['King Harvest'],New York,42.0,-74.0,1972,May
Solo,['Future'],Georgia,33.0,84.0,'2015','September'
